Total Computing Time,Image preprecessing,Lane detection
0.262398243,0.191940784,0.070457458
0.28462863,0.218980312,0.065648317
0.254308462,0.19434166,0.059966803
0.324492693,0.265180111,0.059312582
0.252989769,0.198142052,0.054847717
0.250651836,0.192827702,0.057824135
0.250024796,0.191903353,0.058121443
0.247218609,0.19217658,0.055042028
0.256876945,0.197717667,0.059159279
0.273989439,0.210210562,0.063778877
0.255947113,0.197028399,0.058918715
0.273849726,0.197622299,0.076227427
0.258936644,0.203579187,0.055357456
0.262361765,0.204072237,0.058289528
0.316235065,0.258388519,0.057846546
0.26226449,0.201973438,0.060291052
0.268226385,0.211613417,0.056612968
0.258978128,0.198724747,0.060253382
0.24316597,0.18906045,0.05410552
0.243873358,0.191576958,0.0522964
0.248625278,0.191632032,0.056993246
0.247345209,0.191342592,0.056002617
0.248748541,0.192519665,0.056228876
0.255629778,0.201018095,0.054611683
0.250112772,0.193074703,0.057038069
0.247254848,0.194923878,0.052330971
0.264841795,0.206792116,0.058049679
0.247177362,0.191195726,0.055981636
0.25084734,0.193839788,0.057007551
0.255347967,0.199947357,0.05540061
0.253736973,0.198125362,0.05561161
0.241607904,0.188926697,0.052681208
0.247428179,0.1932199,0.054208279
0.246023893,0.190733433,0.055290461
0.249325991,0.192831993,0.056493998
0.243995428,0.188293695,0.055701733
0.245860338,0.189613819,0.056246519
0.243000031,0.190305948,0.052694082
0.244401217,0.186194897,0.05820632
0.248776913,0.19081068,0.057966232
0.248063326,0.192475557,0.055587769
0.326989174,0.270766497,0.056222677
0.25126791,0.193292856,0.057975054
0.244319677,0.18955946,0.054760218
0.24379611,0.185185909,0.058610201
0.244909048,0.186917782,0.057991266
0.247828722,0.193162918,0.054665804
0.24936676,0.193415165,0.055951595
0.247848749,0.189912558,0.057936192
0.243663311,0.187676668,0.055986643
0.244330168,0.190339327,0.053990841
0.259045362,0.201644421,0.057400942
0.252012491,0.194569588,0.057442904
0.24887991,0.192629814,0.056250095
0.250474691,0.19080019,0.059674501
0.243850708,0.190019131,0.053831577
0.248595953,0.189632416,0.058963537
0.24427104,0.189403057,0.054867983
0.247624159,0.193239689,0.05438447
0.242201328,0.186933517,0.055267811
0.249334574,0.18695116,0.062383413
0.241673708,0.186380148,0.05529356
0.248435974,0.194132328,0.054303646
0.246038198,0.191108465,0.054929733
0.243966579,0.187978506,0.055988073
0.245096684,0.190305233,0.054791451
0.252408028,0.194323063,0.058084965
0.258073092,0.201746464,0.056326628
0.24510932,0.189892054,0.055217266
0.244090319,0.188239336,0.055850983
0.247272015,0.193022728,0.054249287
0.251091957,0.193246365,0.057845592
0.258307219,0.201511145,0.056796074
0.249860048,0.19102788,0.058832169
0.25078249,0.192898035,0.057884455
0.253247738,0.193955183,0.059292555
0.248091459,0.190831184,0.057260275
0.239969969,0.185862541,0.054107428
0.253177166,0.190191984,0.062985182
0.244406223,0.189174652,0.055231571
0.257493019,0.201057911,0.056435108
0.252412796,0.191388369,0.061024427
0.243934631,0.188622952,0.05531168
0.248842239,0.195072174,0.053770065
0.246242046,0.188207626,0.05803442
0.269647837,0.209713221,0.059934616
0.248033524,0.193244457,0.054789066
0.24585247,0.189228058,0.056624413
0.25027895,0.194779873,0.055499077
0.244653702,0.189842224,0.054811478
0.244458675,0.190143585,0.05431509
0.247614861,0.191415548,0.056199312
0.257645369,0.200395346,0.057250023
0.318382978,0.262525558,0.05585742
0.257905006,0.200941801,0.056963205
0.255398512,0.197988749,0.057409763
0.258138418,0.19902873,0.059109688
0.271179438,0.209647179,0.061532259
0.290535688,0.225960732,0.064574957
0.282489538,0.220635653,0.061853886
0.288803577,0.222605467,0.066198111
0.285242319,0.219184875,0.066057444
0.287656307,0.218381643,0.069274664
0.287017107,0.216933966,0.070083141
0.281883955,0.219982386,0.061901569
0.286962271,0.223595142,0.063367128
0.27948904,0.217247009,0.062242031
0.288639545,0.222506285,0.066133261
0.280380011,0.211002111,0.069377899
0.278864145,0.218246698,0.060617447
0.281403303,0.218955755,0.062447548
0.283589363,0.216490746,0.067098618
0.269771099,0.212142467,0.057628632
0.264356613,0.203051329,0.061305285
0.259106874,0.204117298,0.054989576
0.261970758,0.20638442,0.055586338
0.254780769,0.196770668,0.058010101
0.262540579,0.205652714,0.056887865
0.25630641,0.200411558,0.055894852
0.256485939,0.19918704,0.057298899
0.258460045,0.195343256,0.063116789
0.273017645,0.210760355,0.06225729
0.256780624,0.199144363,0.057636261
0.25590229,0.199954033,0.055948257
0.255913496,0.195329189,0.060584307
0.250869036,0.193409204,0.057459831
0.245444775,0.188672543,0.056772232
0.255499601,0.200103521,0.05539608
0.249690056,0.191842556,0.0578475
0.260414124,0.203914642,0.056499481
0.257259369,0.199981689,0.057277679
0.249835014,0.193132639,0.056702375
0.256150723,0.19773221,0.058418512
0.33161664,0.274425983,0.057190657
0.258816004,0.201512098,0.057303905
0.261790037,0.202656984,0.059133053
0.262307405,0.207334757,0.054972649
0.258310795,0.201029778,0.057281017
0.256523848,0.201531887,0.054991961
0.265614986,0.206670523,0.058944464
0.256972075,0.198398829,0.058573246
0.256803989,0.19987011,0.05693388
0.259845018,0.201360464,0.058484554
0.254801989,0.200766563,0.054035425
0.257845163,0.201015711,0.056829453
0.252302885,0.194533587,0.057769299
0.258945942,0.203155279,0.055790663
0.255078554,0.19991374,0.055164814
0.276566267,0.200373173,0.076193094
0.268031597,0.209109306,0.058922291
0.250988483,0.19809556,0.052892923
0.251947641,0.194828749,0.057118893
0.25403142,0.195993185,0.058038235
0.261211395,0.202579975,0.05863142
0.263591528,0.208197832,0.055393696
0.257936239,0.203597546,0.054338694
0.255065203,0.197949648,0.057115555
0.255776882,0.200027704,0.055749178
0.259554148,0.203227758,0.056326389
0.273014069,0.21270752,0.060306549
0.268417835,0.209256887,0.059160948
0.265625,0.205479622,0.060145378
0.267873287,0.20710063,0.060772657
0.264027357,0.206520796,0.057506561
0.255354643,0.198952913,0.05640173
0.29048562,0.229150772,0.061334848
0.280820847,0.217509508,0.063311338
0.274791002,0.212604046,0.062186956
0.281899929,0.220719814,0.061180115
0.276710272,0.217453003,0.059257269
0.273921013,0.213621616,0.060299397
0.31222868,0.250994921,0.061233759
0.277300596,0.217007637,0.060292959
0.274649143,0.21462965,0.060019493
0.267990112,0.212818384,0.055171728
0.26774025,0.208358288,0.059381962
0.265879154,0.209666252,0.056212902
0.272994995,0.216269732,0.056725264
0.269261837,0.212674856,0.056586981
0.274194479,0.216788769,0.05740571
0.270848513,0.215398788,0.055449724
0.268939018,0.208029985,0.060909033
0.268467426,0.209741592,0.058725834
0.268844366,0.211703777,0.057140589
0.283837557,0.222804546,0.06103301
0.272422552,0.211259127,0.061163425
0.262077332,0.204543114,0.057534218
0.26700902,0.206771851,0.060237169
0.273142815,0.209855556,0.063287258
0.292179823,0.228936672,0.063243151
0.295836449,0.229116917,0.066719532
0.292314053,0.223257542,0.069056511
0.293815613,0.221932888,0.071882725
0.28610301,0.224033117,0.062069893
0.297275543,0.230283022,0.066992521
0.289308548,0.226149559,0.063158989
0.297742367,0.234156609,0.063585758
0.290428877,0.222313166,0.068115711
0.302906275,0.237914085,0.064992189
0.282567263,0.221358776,0.061208487
0.294048786,0.224875212,0.069173574
0.291250706,0.227209091,0.064041615
0.288488865,0.224805117,0.063683748
0.264124632,0.206050873,0.058073759
0.270589113,0.209944963,0.06064415
0.269179821,0.209388494,0.059791327
0.268095732,0.2107265,0.057369232
0.264630556,0.204655647,0.059974909
0.271697283,0.208865404,0.062831879
0.266926289,0.20904994,0.057876348
0.261930466,0.202441692,0.059488773
0.262296438,0.205197811,0.057098627
0.263563395,0.207112789,0.056450605
0.263667583,0.206775904,0.05689168
0.269309759,0.210312843,0.058996916
0.276267767,0.217331171,0.058936596
0.262467384,0.204931498,0.057535887
0.278970957,0.220796108,0.058174849
0.27397418,0.216345072,0.057629108
0.261272192,0.20430994,0.056962252
0.268419743,0.21135664,0.057063103
0.263415337,0.205646515,0.057768822
0.269029379,0.209903717,0.059125662
0.269930363,0.211152792,0.058777571
0.271461964,0.214745998,0.056715965
0.264275074,0.207994938,0.056280136
